name,url,validation_status,frequency_status,country,timezone_gmt
All About Security,https://www.all-about-security.de/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
BASIC thinking,https://www.basicthinking.de/blog/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
BigData Insider,https://www.bigdata-insider.de/rss.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Borncity,https://www.borncity.com/blog/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Borncity Windows,https://www.borncity.com/blog/category/windows/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
CHIP,https://www.chip.de/rss/rss_topnews.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
CHIP Downloads,https://www.chip.de/rss/rss_downloads.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Caschys Blog,https://stadt-bremerhaven.de/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
CloudComputing Insider,https://www.cloudcomputing-insider.de/rss.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
ComputerBase,https://www.computerbase.de/rss/news.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
ComputerBase Downloads,https://www.computerbase.de/rss/downloads.xml,Funciona,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Computerwoche,https://www.computerwoche.de/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Datacenter Insider,https://www.datacenter-insider.de/rss.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Deskmodder,https://www.deskmodder.de/blog/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Deskmodder Windows,https://www.deskmodder.de/blog/category/windows-11/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Dev Insider,https://www.dev-insider.de/rss.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Dr Windows,https://www.drwindows.de/news/feed,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Elektronikpraxis,https://www.elektronikpraxis.de/rss.xml,Funciona,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem,https://rss.golem.de/rss.php?feed=RSS2.0,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem Cloud,https://rss.golem.de/rss.php?feed=RSS2.0&ms=cloud,Funciona,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem KI,https://rss.golem.de/rss.php?feed=RSS2.0&ms=ki,Funciona,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem Open Source,https://rss.golem.de/rss.php?feed=ATOM1.0&ms=opensource,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem Security,https://rss.golem.de/rss.php?feed=ATOM1.0&ms=security,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem Security,https://rss.golem.de/rss.php?feed=RSS2.0&ms=security,Funciona,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Golem Software,https://rss.golem.de/rss.php?feed=ATOM1.0&ms=software,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Gründerszene,https://www.businessinsider.de/gruenderszene/feed/,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Heise Autos,https://www.heise.de/autos/rss/news-atom.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
Heise Developer,https://www.heise.de/developer/rss/news-atom.xml,OK 200 RSS/Atom,Actualizada: última noticia 2026-05-05 (hace 0 días),Alemania,GMT+1
